BusinessName,Yelp URL,Google Review Link,Average Rating,Total Ratings,Address
% Arabica,https://www.yelp.com/biz/arabica-brooklyn?osq=coffee,https://www.google.com/search?q=%+Arabica20+Old+Fulton+St+Brooklyn+NY+11201,4.3,232,"20 Old Fulton St, Brooklyn, NY 11201","% Arabica
20 Old Fulton St
Ten Thousand Coffee,https://www.yelp.com/biz/ten-thousand-coffee-new-york-4?osq=coffee,https://www.google.com/search?q=Ten+Thousand+Coffee14+Wall+St+New+York+NY+10005,4.3,31,"14 Wall St, New York, NY 10005","Ten Thousand Coffee
14 Wall St
New York, NY 10005"
Devocion,https://www.yelp.com/biz/devocion-brooklyn-12?osq=coffee,https://www.google.com/search?q=Devocion69+Grand+St+Brooklyn+NY+11249,4.1,590,"69 Grand St, Brooklyn, NY 11249","Devocion
69 Grand St
Brooklyn, NY 11249"
Saltwater Coffee,https://www.yelp.com/biz/saltwater-coffee-new-york?osq=coffee,https://www.google.com/search?q=Saltwater+Coffee345+E+12th+St+New+York+NY+10003,4.6,270,"345 E 12th St, New York, NY 10003","Saltwater Coffee
345 E 12th St
New York, NY 10003"
The Lazy Llama Coffee Bar,https://www.yelp.com/biz/the-lazy-llama-coffee-bar-new-york-2?osq=coffee,https://www.google.com/search?q=The+Lazy+Llama+Coffee+Bar72+E+1st+St+New+York+NY+10003,4.4,156,"72 E 1st St, New York, NY 10003","The Lazy Llama Coffee Bar
72 E 1st St
New York, NY 10003"
Zaruma Gold Coffee,https://www.yelp.com/biz/zaruma-gold-coffee-brooklyn?osq=coffee,https://www.google.com/search?q=Zaruma+Gold+Coffee66+Front+St+Brooklyn+NY+11201,4.2,13,"66 Front St, Brooklyn, NY 11201","Zaruma Gold Coffee
66 Front St
Brooklyn, NY 11201"
HoneyBird Coffee,https://www.yelp.com/biz/honeybird-coffee-brooklyn?osq=coffee,https://www.google.com/search?q=HoneyBird+Coffee2+N+6th+Pl+Brooklyn+NY+11249,4.3,3,"2 N 6th Pl, Brooklyn, NY 11249","HoneyBird Coffee
2 N 6th Pl
Brooklyn, NY 11249"
Black Brick,https://www.yelp.com/biz/black-brick-brooklyn?osq=coffee,https://www.google.com/search?q=Black+Brick300+Bedford+Ave+Brooklyn+NY+11211,4.0,349,"300 Bedford Ave, Brooklyn, NY 11211","Black Brick
300 Bedford Ave
Brooklyn, NY 11211"
Blank Street Coffee,https://www.yelp.com/biz/blank-street-coffee-brooklyn-15?osq=coffee,https://www.google.com/search?q=Blank+Street+Coffee75+Lafayette+Ave+Brooklyn+NY+11217,4.0,1,"75 Lafayette Ave, Brooklyn, NY 11217","Blank Street Coffee
75 Lafayette Ave
Brooklyn, NY 11217"
Qahwah House,https://www.yelp.com/biz/qahwah-house-brooklyn?osq=coffee,https://www.google.com/search?q=Qahwah+House162+Bedford+Ave+Brooklyn+NY+11249,4.7,380,"162 Bedford Ave, Brooklyn, NY 11249","Qahwah House
162 Bedford Ave
Brooklyn, NY 11249"
A’MORE Caffe,https://www.yelp.com/biz/a-more-caffe-new-york?osq=coffee,https://www.google.com/search?q=A’MORE+Caffe150+E+2nd+St+New+York+NY+10009,4.7,21,"150 E 2nd St, New York, NY 10009","A’MORE Caffe
150 E 2nd St
New York, NY 10009"
Now or Never Coffee,https://www.yelp.com/biz/now-or-never-coffee-new-york?osq=coffee,https://www.google.com/search?q=Now+or+Never+Coffee30+Grand+St+New+York+NY+10013,4.3,93,"30 Grand St, New York, NY 10013","Now or Never Coffee
30 Grand St
New York, NY 10013"
Kodawari Coffee,https://www.yelp.com/biz/kodawari-coffee-new-york?osq=coffee,https://www.google.com/search?q=Kodawari+Coffee100+Forsyth+St+New+York+NY+10002,3.9,56,"100 Forsyth St, New York, NY 10002","Kodawari Coffee
100 Forsyth St
New York, NY 10002"
La Cabra,https://www.yelp.com/biz/la-cabra-new-york-2?osq=coffee,https://www.google.com/search?q=La+Cabra152+2nd+Ave+New+York+NY+10003,4.6,280,"152 2nd Ave, New York, NY 10003","La Cabra
152 2nd Ave
New York, NY 10003"
PPL,https://www.yelp.com/biz/ppl-brooklyn?osq=coffee,https://www.google.com/search?q=PPL189+Roebling+St+Brooklyn+NY+11211,4.6,50,"189 Roebling St, Brooklyn, NY 11211","PPL
189 Roebling St
Brooklyn, NY 11211"
N/A,https://www.yelp.com/biz/artisan-queens?osq=coffee,https://www.google.com/search?q=N/AN/A,N/A,N/A,N/A,"N/A
189 Roebling St
Brooklyn, NY 11211"
Maman,https://www.yelp.com/biz/maman-new-york-22?osq=coffee,https://www.google.com/search?q=Maman239+Centre+St+New+York+NY+10013,3.9,770,"239 Centre St, New York, NY 10013","Maman
239 Centre St
New York, NY 10013"
Kaigo Coffee Room,https://www.yelp.com/biz/kaigo-coffee-room-brooklyn-4?osq=coffee,https://www.google.com/search?q=Kaigo+Coffee+RoomN/A,4.6,74,N/A,"Kaigo Coffee Room
139 Bridge Park Dr
New York, NY 10013"
L&#x27;Appartement 4F,https://www.yelp.com/biz/l-appartement-4f-brooklyn?osq=coffee,https://www.google.com/search?q=L&#x27;Appartement+4F115+Montague+St+Brooklyn+NY+11201,4.1,189,"115 Montague St, Brooklyn, NY 11201","L&#x27;Appartement 4F
115 Montague St
Brooklyn, NY 11201"
Abraco,https://www.yelp.com/biz/abraco-new-york-5?osq=coffee,https://www.google.com/search?q=Abraco81+E+7th+St+New+York+NY+10003,4.2,923,"81 E 7th St, New York, NY 10003","Abraco
81 E 7th St
New York, NY 10003"
Kaigo Coffee Room,https://www.yelp.com/biz/kaigo-coffee-room-new-york-4?osq=coffee,https://www.google.com/search?q=Kaigo+Coffee+Room120C+Lafayette+St+New+York+NY+10013,4.3,196,"120C Lafayette St, New York, NY 10013","Kaigo Coffee Room
120C Lafayette St
New York, NY 10013"
Urban Backyard,https://www.yelp.com/biz/urban-backyard-new-york?osq=coffee,https://www.google.com/search?q=Urban+Backyard180+Mulberry+St+New+York+NY+10012,4.7,288,"180 Mulberry St, New York, NY 10012","Urban Backyard
180 Mulberry St
New York, NY 10012"
Ludlow Coffee Supply,https://www.yelp.com/biz/ludlow-coffee-supply-new-york?osq=coffee,https://www.google.com/search?q=Ludlow+Coffee+Supply176+Ludlow+St+New+York+NY+10002,3.8,287,"176 Ludlow St, New York, NY 10002","Ludlow Coffee Supply
176 Ludlow St
New York, NY 10002"
Coffee Project New York | Fort Greene,https://www.yelp.com/biz/coffee-project-new-york-fort-greene-brooklyn?osq=coffee,https://www.google.com/search?q=Coffee+Project+New+York+|+Fort+Greene78+Rockwell+Pl+Brooklyn+NY+11217,4.5,102,"78 Rockwell Pl, Brooklyn, NY 11217","Coffee Project New York | Fort Greene
78 Rockwell Pl
Brooklyn, NY 11217"
Butler,https://www.yelp.com/biz/butler-brooklyn?osq=coffee,https://www.google.com/search?q=Butler95+S+5th+St+Brooklyn+NY+11249,4.3,150,"95 S 5th St, Brooklyn, NY 11249","Butler
95 S 5th St
Brooklyn, NY 11249"
La Colombe SOHO,https://www.yelp.com/biz/la-colombe-soho-new-york?osq=coffee,https://www.google.com/search?q=La+Colombe+SOHO270+Lafayette+St+New+York+NY+10012,4.3,706,"270 Lafayette St, New York, NY 10012","La Colombe SOHO
270 Lafayette St
New York, NY 10012"
The Little Sweet Cafe,https://www.yelp.com/biz/the-little-sweet-cafe-brooklyn-3?osq=coffee,https://www.google.com/search?q=The+Little+Sweet+Cafe77B+Hoyt+St+Brooklyn+NY+11201,4.3,195,"77B Hoyt St, Brooklyn, NY 11201","The Little Sweet Cafe
77B Hoyt St
Brooklyn, NY 11201"
Brooklyn Roasting Company,https://www.yelp.com/biz/brooklyn-roasting-company-brooklyn-3?osq=coffee,https://www.google.com/search?q=Brooklyn+Roasting+CompanyN/A,3.5,93,N/A,"Brooklyn Roasting Company
200 Flushing Ave
Brooklyn, NY 11201"
Kijitora,https://www.yelp.com/biz/kijitora-brooklyn?osq=coffee,https://www.google.com/search?q=Kijitora578+Driggs+Ave+Brooklyn+NY+11211,4.7,11,"578 Driggs Ave, Brooklyn, NY 11211","Kijitora
578 Driggs Ave
Brooklyn, NY 11211"
Ten Thousand Coffee,https://www.yelp.com/biz/ten-thousand-coffee-new-york?osq=coffee,https://www.google.com/search?q=Ten+Thousand+CoffeeN/A,4.4,219,N/A,"Ten Thousand Coffee
1410 Broadway
Unit 105</span></p><p class="" css-1sb02"
Before Coffee,https://www.yelp.com/biz/before-coffee-brooklyn?osq=coffee,https://www.google.com/search?q=Before+Coffee9+Meserole+St+Brooklyn+NY+11206,5.0,8,"9 Meserole St, Brooklyn, NY 11206","Before Coffee
9 Meserole St
Brooklyn, NY 11206"
Devoción,https://www.yelp.com/biz/devoci%C3%B3n-brooklyn-11?osq=coffee,https://www.google.com/search?q=Devoción276+Livingston+St+Brooklyn+NY+11201,4.2,167,"276 Livingston St, Brooklyn, NY 11201","Devoción
276 Livingston St
Brooklyn, NY 11201"
Caffe Vita,https://www.yelp.com/biz/caffe-vita-new-york-3?osq=coffee,https://www.google.com/search?q=Caffe+Vita124+Ludlow+St+New+York+NY+10002,4.3,211,"124 Ludlow St, New York, NY 10002","Caffe Vita
124 Ludlow St
New York, NY 10002"
Drip Drop Café,https://www.yelp.com/biz/drip-drop-caf%C3%A9-new-york-2?osq=coffee,https://www.google.com/search?q=Drip+Drop+CaféN/A,4.8,42,N/A,"Drip Drop Café
107 Thompson St
ST 2</span></p><p class="" css-1sb02f4"" "
N/A,https://www.yelp.com/biz/blank-street-coffee-brooklyn-5?osq=coffee,https://www.google.com/search?q=N/AN/A,N/A,N/A,N/A,"N/A
107 Thompson St
ST 2</span></p><p class="" css-1sb02f4"" "
787 Coffee,https://www.yelp.com/biz/787-coffee-new-york-2?osq=coffee,https://www.google.com/search?q=787+Coffee131+E+7th+St+New+York+NY+10009,4.5,169,"131 E 7th St, New York, NY 10009","787 Coffee
131 E 7th St
New York, NY 10009"
Librae Bakery,https://www.yelp.com/biz/librae-bakery-new-york?osq=coffee,https://www.google.com/search?q=Librae+Bakery35+Cooper+Sq+New+York+NY+10003,4.5,165,"35 Cooper Sq, New York, NY 10003","Librae Bakery
35 Cooper Sq
New York, NY 10003"
Café Lyria,https://www.yelp.com/biz/caf%C3%A9-lyria-new-york?osq=coffee,https://www.google.com/search?q=Café+Lyria166+Crosby+St+New+York+NY+10012,3.7,21,"166 Crosby St, New York, NY 10012","Café Lyria
166 Crosby St
New York, NY 10012"
Sippy Cafe,https://www.yelp.com/biz/sippy-cafe-brooklyn-3?osq=coffee,https://www.google.com/search?q=Sippy+Cafe153+Remsen+St+Brooklyn+NY+11201,4.3,16,"153 Remsen St, Brooklyn, NY 11201","Sippy Cafe
153 Remsen St
Brooklyn, NY 11201"
Paquita,https://www.yelp.com/biz/paquita-new-york?osq=coffee,https://www.google.com/search?q=Paquita242+W+10th+St+New+York+NY+10014,4.9,27,"242 W 10th St, New York, NY 10014","Paquita
242 W 10th St
New York, NY 10014"
Coffee RX,https://www.yelp.com/biz/coffee-rx-new-york-5?osq=coffee,https://www.google.com/search?q=Coffee+RX33+E+8th+St+New+York+NY+10003,4.9,14,"33 E 8th St, New York, NY 10003","Coffee RX
33 E 8th St
New York, NY 10003"
Little Collins,https://www.yelp.com/biz/little-collins-new-york-3?osq=cafe,https://www.google.com/search?q=Little+Collins708+3rd+Ave+New+York+NY+10017,4.4,N/A,"708 3rd Ave, New York, NY 10017","Little Collins
708 3rd Ave
New York, NY 10017"
The Lazy Llama Coffee Bar,https://www.yelp.com/biz/the-lazy-llama-coffee-bar-new-york-2?osq=cafe,https://www.google.com/search?q=The+Lazy+Llama+Coffee+Bar72+E+1st+St+New+York+NY+10003,4.4,156,"72 E 1st St, New York, NY 10003","The Lazy Llama Coffee Bar
72 E 1st St
New York, NY 10003"
Kodawari Coffee,https://www.yelp.com/biz/kodawari-coffee-new-york?osq=cafe,https://www.google.com/search?q=Kodawari+Coffee100+Forsyth+St+New+York+NY+10002,3.9,56,"100 Forsyth St, New York, NY 10002","Kodawari Coffee
100 Forsyth St
New York, NY 10002"
Hi-Note,https://www.yelp.com/biz/hi-note-new-york?osq=cafe,https://www.google.com/search?q=Hi-Note188+Avenue+B+New+York+NY+10009,4.7,14,"188 Avenue B, New York, NY 10009","Hi-Note
188 Avenue B
New York, NY 10009"
Black Lab Cafe,https://www.yelp.com/biz/black-lab-cafe-new-york?osq=cafe,https://www.google.com/search?q=Black+Lab+Cafe420+Amsterdam+Ave+New+York+NY+10024,4.3,43,"420 Amsterdam Ave, New York, NY 10024","Black Lab Cafe
420 Amsterdam Ave
New York, NY 10024"
Cafe Alula,https://www.yelp.com/biz/cafe-alula-brooklyn?osq=cafe,https://www.google.com/search?q=Cafe+Alula252+Franklin+St+Brooklyn+NY+11222,4.5,87,"252 Franklin St, Brooklyn, NY 11222","Cafe Alula
252 Franklin St
Brooklyn, NY 11222"
The Coppola Cafe,https://www.yelp.com/biz/the-coppola-cafe-new-york?osq=cafe,https://www.google.com/search?q=The+Coppola+Cafe171+West+4th+St+New+York+NY+10014,4.4,78,"171 West 4th St, New York, NY 10014","The Coppola Cafe
171 West 4th St
New York, NY 10014"
Social House Cafe,https://www.yelp.com/biz/social-house-cafe-brooklyn?osq=cafe,https://www.google.com/search?q=Social+House+Cafe60+Broadway+Brooklyn+NY+11249,4.7,27,"60 Broadway, Brooklyn, NY 11249","Social House Cafe
60 Broadway
Brooklyn, NY 11249"
Caffe Aronne,https://www.yelp.com/biz/caffe-aronne-new-york-3?osq=cafe,https://www.google.com/search?q=Caffe+Aronne112+Greenwich+Ave+New+York+NY+10011,4.9,33,"112 Greenwich Ave, New York, NY 10011","Caffe Aronne
112 Greenwich Ave
New York, NY 10011"
Daily Provisions,https://www.yelp.com/biz/daily-provisions-new-york-2?osq=cafe,https://www.google.com/search?q=Daily+Provisions29+Bedford+St+New+York+NY+10014,4.4,38,"29 Bedford St, New York, NY 10014","Daily Provisions
29 Bedford St
New York, NY 10014"
Bread &amp; Spread,https://www.yelp.com/biz/bread-and-spread-dumbo?osq=cafe,https://www.google.com/search?q=Bread+&amp;+Spread151+Front+St+Dumbo+NY+11201,4.4,215,"151 Front St, Dumbo, NY 11201","Bread &amp; Spread
151 Front St
Dumbo, NY 11201"
Devoción,https://www.yelp.com/biz/devoci%C3%B3n-new-york-3?osq=cafe,https://www.google.com/search?q=Devoción25+E+20th+St+New+York+NY+10003,4.0,199,"25 E 20th St, New York, NY 10003","Devoción
25 E 20th St
New York, NY 10003"
Black Star Bakery &amp; Cafe,https://www.yelp.com/biz/black-star-bakery-and-cafe-long-island-city?osq=cafe,https://www.google.com/search?q=Black+Star+Bakery+&amp;+CafeN/A,4.1,176,N/A,"Black Star Bakery &amp; Cafe
2-10 50th Ave
Long Island City, NY 11101</span></p></"
Stone Street Coffee Company,https://www.yelp.com/biz/stone-street-coffee-company-new-york?osq=cafe,https://www.google.com/search?q=Stone+Street+Coffee+Company132+9th+Ave+New+York+NY+10011,3.9,91,"132 9th Ave, New York, NY 10011","Stone Street Coffee Company
132 9th Ave
New York, NY 10011"
PlantShed,https://www.yelp.com/biz/plantshed-new-york-5?osq=cafe,https://www.google.com/search?q=PlantShed193+2nd+Ave+New+York+NY+10003,4.5,14,"193 2nd Ave, New York, NY 10003","PlantShed
193 2nd Ave
New York, NY 10003"
Semicolon Cafe,https://www.yelp.com/biz/semicolon-cafe-new-york-2?osq=cafe,https://www.google.com/search?q=Semicolon+Cafe516+A+3rd+Ave+New+York+NY+10016,4.3,207,"516 A 3rd Ave, New York, NY 10016","Semicolon Cafe
516 A 3rd Ave
New York, NY 10016"
Culture Company,https://www.yelp.com/biz/culture-company-new-york?osq=cafe,https://www.google.com/search?q=Culture+Company335+Madison+Ave+New+York+NY+10017,4.6,26,"335 Madison Ave, New York, NY 10017","Culture Company
335 Madison Ave
New York, NY 10017"
Bluestone Lane DUMBO Café,https://www.yelp.com/biz/bluestone-lane-dumbo-caf%C3%A9-brooklyn?osq=cafe,https://www.google.com/search?q=Bluestone+Lane+DUMBO+Café55+Prospect+St+Brooklyn+NY+11201,3.8,262,"55 Prospect St, Brooklyn, NY 11201","Bluestone Lane DUMBO Café
55 Prospect St
Brooklyn, NY 11201"
Society Cafe,https://www.yelp.com/biz/society-cafe-new-york-2?osq=cafe,https://www.google.com/search?q=Society+Cafe52+W+13th+St+New+York+NY+10011,4.1,242,"52 W 13th St, New York, NY 10011","Society Cafe
52 W 13th St
New York, NY 10011"
Takahachi Bakery,https://www.yelp.com/biz/takahachi-bakery-new-york?osq=cafe,https://www.google.com/search?q=Takahachi+Bakery25+Murray+St+New+York+NY+10007,4.1,N/A,"25 Murray St, New York, NY 10007","Takahachi Bakery
25 Murray St
New York, NY 10007"
Suited,https://www.yelp.com/biz/suited-new-york?osq=cafe,https://www.google.com/search?q=Suited45+John+St+New+York+NY+10038,4.6,137,"45 John St, New York, NY 10038","Suited
45 John St
New York, NY 10038"
Saltwater Coffee,https://www.yelp.com/biz/saltwater-coffee-new-york?osq=cafe,https://www.google.com/search?q=Saltwater+Coffee345+E+12th+St+New+York+NY+10003,4.6,270,"345 E 12th St, New York, NY 10003","Saltwater Coffee
345 E 12th St
New York, NY 10003"
Harney &amp; Sons SoHo,https://www.yelp.com/biz/harney-and-sons-soho-new-york?osq=cafe,https://www.google.com/search?q=Harney+&amp;+Sons+SoHoN/A,4.3,780,N/A,"Harney &amp; Sons SoHo
433 Broome St
Ground Fl</span></p><p class="" css-1sb0"
Sippy Cafe,https://www.yelp.com/biz/sippy-cafe-brooklyn-3?osq=cafe,https://www.google.com/search?q=Sippy+Cafe153+Remsen+St+Brooklyn+NY+11201,4.3,16,"153 Remsen St, Brooklyn, NY 11201","Sippy Cafe
153 Remsen St
Brooklyn, NY 11201"
N/A,https://www.yelp.com/biz/bibble-and-sip-new-york-2?osq=cafe,https://www.google.com/search?q=N/AN/A,N/A,N/A,N/A,"N/A
153 Remsen St
Brooklyn, NY 11201"
Bao Tea House,https://www.yelp.com/biz/bao-tea-house-new-york-10?osq=cafe,https://www.google.com/search?q=Bao+Tea+House122+Mulberry+St+New+York+NY+10013,4.3,49,"122 Mulberry St, New York, NY 10013","Bao Tea House
122 Mulberry St
New York, NY 10013"
Charlotte Cafe,https://www.yelp.com/biz/charlotte-cafe-new-york-2?osq=cafe,https://www.google.com/search?q=Charlotte+Cafe605+Second+Ave+New+York+NY+10016,4.6,61,"605 Second Ave, New York, NY 10016","Charlotte Cafe
605 Second Ave
New York, NY 10016"
MJ Cafe,https://www.yelp.com/biz/mj-cafe-new-york?osq=cafe,https://www.google.com/search?q=MJ+CafeN/A,4.8,10,N/A,"MJ Cafe
70 Hester St
Upper Level</span></p><p class="" css-1s"
The Hideout Chai Bar,https://www.yelp.com/biz/the-hideout-chai-bar-new-york?osq=cafe,https://www.google.com/search?q=The+Hideout+Chai+Bar42+Rivington+St+New+York+NY+10002,4.7,156,"42 Rivington St, New York, NY 10002","The Hideout Chai Bar
42 Rivington St
New York, NY 10002"
Artisan Cafe,https://www.yelp.com/biz/artisan-cafe-new-york?osq=cafe,https://www.google.com/search?q=Artisan+Cafe608+Amsterdam+Ave+New+York+NY+10024,4.5,10,"608 Amsterdam Ave, New York, NY 10024","Artisan Cafe
608 Amsterdam Ave
New York, NY 10024"
MarieBelle,https://www.yelp.com/biz/mariebelle-new-york-4?osq=cafe,https://www.google.com/search?q=MarieBelle484+Broome+St+New+York+NY+10013,4.3,652,"484 Broome St, New York, NY 10013","MarieBelle
484 Broome St
New York, NY 10013"
Mah-Ze-Dahr Bakery,https://www.yelp.com/biz/mah-ze-dahr-bakery-new-york?osq=cafe,https://www.google.com/search?q=Mah-Ze-Dahr+Bakery28+Greenwich+Ave+New+York+NY+10011,4.4,463,"28 Greenwich Ave, New York, NY 10011","Mah-Ze-Dahr Bakery
28 Greenwich Ave
New York, NY 10011"
Boris &amp; Horton,https://www.yelp.com/biz/boris-and-horton-brooklyn?osq=cafe,https://www.google.com/search?q=Boris+&amp;+Horton510+Driggs+Ave+Brooklyn+NY+11211,4.9,48,"510 Driggs Ave, Brooklyn, NY 11211","Boris &amp; Horton
510 Driggs Ave
Brooklyn, NY 11211"
Do Not Feed Alligators,https://www.yelp.com/biz/do-not-feed-alligators-new-york?osq=cafe,https://www.google.com/search?q=Do+Not+Feed+Alligators337+Bleecker+St+New+York+NY+10014,4.1,48,"337 Bleecker St, New York, NY 10014","Do Not Feed Alligators
337 Bleecker St
New York, NY 10014"
787 Coffee,https://www.yelp.com/biz/787-coffee-new-york-5?osq=cafe,https://www.google.com/search?q=787+Coffee66+Pearl+St+New+York+NY+10004,4.5,126,"66 Pearl St, New York, NY 10004","787 Coffee
66 Pearl St
New York, NY 10004"
Thayer,https://www.yelp.com/biz/thayer-new-york?osq=cafe,https://www.google.com/search?q=Thayer99+Avenue+B+New+York+NY+10009,4.6,8,"99 Avenue B, New York, NY 10009","Thayer
99 Avenue B
New York, NY 10009"
Copper Mug Coffee,https://www.yelp.com/biz/copper-mug-coffee-brooklyn-3?osq=cafe,https://www.google.com/search?q=Copper+Mug+Coffee131+N+4th+St+Brooklyn+NY+11249,4.4,158,"131 N 4th St, Brooklyn, NY 11249","Copper Mug Coffee
131 N 4th St
Brooklyn, NY 11249"
La Parisienne,https://www.yelp.com/biz/la-parisienne-new-york-5?osq=cafe,https://www.google.com/search?q=La+Parisienne9+Maiden+Ln+New+York+NY+10038,4.6,855,"9 Maiden Ln, New York, NY 10038","La Parisienne
9 Maiden Ln
New York, NY 10038"
Land to Sea,https://www.yelp.com/biz/land-to-sea-brooklyn?osq=cafe,https://www.google.com/search?q=Land+to+Sea402+Graham+Ave+Brooklyn+NY+11211,4.6,52,"402 Graham Ave, Brooklyn, NY 11211","Land to Sea
402 Graham Ave
Brooklyn, NY 11211"
Banter,https://www.yelp.com/biz/banter-new-york?osq=cafe,https://www.google.com/search?q=Banter169+Sullivan+St+New+York+NY+10012,4.3,678,"169 Sullivan St, New York, NY 10012","Banter
169 Sullivan St
New York, NY 10012"
Before Coffee,https://www.yelp.com/biz/before-coffee-brooklyn?osq=cafe,https://www.google.com/search?q=Before+Coffee9+Meserole+St+Brooklyn+NY+11206,5.0,8,"9 Meserole St, Brooklyn, NY 11206","Before Coffee
9 Meserole St
Brooklyn, NY 11206"
Two For the Pot,https://www.yelp.com/biz/two-for-the-pot-brooklyn?osq=cafe,https://www.google.com/search?q=Two+For+the+Pot200+Clinton+St+Brooklyn+NY+11201,4.6,43,"200 Clinton St, Brooklyn, NY 11201","Two For the Pot
200 Clinton St
Brooklyn, NY 11201"
Davelle,https://www.yelp.com/biz/davelle-new-york-2?osq=cafe,https://www.google.com/search?q=Davelle102+Suffolk+St+New+York+NY+10002,4.1,422,"102 Suffolk St, New York, NY 10002","Davelle
102 Suffolk St
New York, NY 10002"
Kaigo Coffee Room,https://www.yelp.com/biz/kaigo-coffee-room-new-york-4?osq=cafe,https://www.google.com/search?q=Kaigo+Coffee+Room120C+Lafayette+St+New+York+NY+10013,4.3,196,"120C Lafayette St, New York, NY 10013","Kaigo Coffee Room
120C Lafayette St
New York, NY 10013"
Remi 43,https://www.yelp.com/biz/remi-43-new-york-2?osq=cafe,https://www.google.com/search?q=Remi+43810+2nd+Ave+New+York+NY+10017,4.5,114,"810 2nd Ave, New York, NY 10017","Remi 43
810 2nd Ave
New York, NY 10017"
Sweetleaf Coffee,https://www.yelp.com/biz/sweetleaf-coffee-brooklyn?osq=cafe,https://www.google.com/search?q=Sweetleaf+Coffee159+Freeman+St+Brooklyn+NY+11222,4.0,122,"159 Freeman St, Brooklyn, NY 11222","Sweetleaf Coffee
159 Freeman St
Brooklyn, NY 11222"
Drip Drop Café,https://www.yelp.com/biz/drip-drop-caf%C3%A9-new-york-2?osq=cafe,https://www.google.com/search?q=Drip+Drop+CaféN/A,4.8,42,N/A,"Drip Drop Café
107 Thompson St
ST 2</span></p><p class="" css-1sb02f4"" "
Ten Thousand Coffee,https://www.yelp.com/biz/ten-thousand-coffee-new-york?osq=cafe,https://www.google.com/search?q=Ten+Thousand+CoffeeN/A,4.4,219,N/A,"Ten Thousand Coffee
1410 Broadway
Unit 105</span></p><p class="" css-1sb02"
Cafe Volkan,https://www.yelp.com/biz/cafe-volkan-brooklyn-2?osq=cafe,https://www.google.com/search?q=Cafe+Volkan85+Bergen+St+Brooklyn+NY+11201,4.7,48,"85 Bergen St, Brooklyn, NY 11201","Cafe Volkan
85 Bergen St
Brooklyn, NY 11201"
Maman,https://www.yelp.com/biz/maman-new-york-33?osq=cafe,https://www.google.com/search?q=Maman114+W+41st+St+New+York+NY+10036,4.2,118,"114 W 41st St, New York, NY 10036","Maman
114 W 41st St
New York, NY 10036"
